Manufacturer,Model,Vehicle_Type,Fuel_Type,Transmission,Region,Year,Engine_Size,Horsepower,MPG,Price,Mileage,Age,Sales
Ford,Explorer,SUV,Hybrid,Automatic,West,2018,5.3,420,20.8,35685.0,139734,6,22472.0
Ford,Escape,Sedan,Gasoline,Automatic,South,2015,1.9,159,25.3,54792.0,22183,9,13407.0
Toyota,RAV4,SUV,Gasoline,Automatic,North,2015,5.5,194,48.6,19132.0,43211,9,22814.0
BMW,X3,Sedan,Diesel,Manual,Central,2020,1.8,411,41.5,67480.0,75129,4,21931.0
Volkswagen,Golf,Coupe,Gasoline,Automatic,East,2022,1.5,227,32.9,26256.0,12891,2,20308.0
Audi,Q5,Sedan,Gasoline,Automatic,East,2016,4.3,221,22.3,56174.0,93574,8,9699.0
Volkswagen,Atlas,SUV,Gasoline,Automatic,North,2018,2.9,386,15.3,44242.0,140984,6,16124.0
Kia,Sportage,SUV,Hybrid,Automatic,North,2017,3.7,440,27.5,65277.0,14903,7,33167.0
Audi,A6,Hatchback,Electric,CVT,West,2023,4.3,186,17.2,68699.0,98882,1,14557.0
Kia,Sportage,Sedan,Gasoline,Manual,Central,2017,1.3,481,34.3,28273.0,14282,7,30191.0
Hyundai,Elantra,Sedan,Hybrid,Manual,Central,2022,2.5,180,47.9,59017.0,22166,2,22434.0
Honda,Accord,Sedan,Gasoline,Manual,West,2021,3.3,121,26.4,27344.0,143168,3,3845.0
Toyota,Camry,Coupe,Gasoline,Automatic,Central,2015,2.3,351,48.9,23060.0,147169,9,14645.0
Audi,A6,Sedan,Diesel,Manual,Central,2022,1.2,289,43.2,75469.0,2030,2,23178.0
Audi,Q7,Sedan,Gasoline,CVT,East,2023,1.4,411,20.0,25685.0,136931,1,19234.0
Hyundai,Santa Fe,Sedan,Diesel,Manual,Central,2022,5.0,185,40.8,29829.0,85027,2,13717.0
BMW,X5,Truck,Hybrid,Automatic,North,2015,5.6,478,21.1,23471.0,94372,9,26557.0
Ford,F-150,Sedan,Electric,Manual,East,2021,1.8,466,41.2,45569.0,78751,3,40107.0
Hyundai,Accent,Sedan,Gasoline,CVT,North,2023,2.2,107,20.7,74774.0,78126,1,5318.0
Mercedes-Benz,E-Class,Sedan,Gasoline,Automatic,North,2019,4.3,417,30.7,32164.0,116422,5,20797.0
Ford,Focus,SUV,Electric,Automatic,West,2016,5.8,433,37.7,50220.0,103247,8,36392.0
Toyota,Corolla,Truck,Gasoline,CVT,Central,2022,2.5,329,17.0,41745.0,76183,2,18301.0
Ford,F-150,SUV,Hybrid,CVT,Central,2023,5.3,251,21.1,36841.0,86029,1,17214.0
BMW,7 Series,Hatchback,Gasoline,Automatic,Central,2021,3.5,377,27.8,52190.0,2126,3,27955.0
Ford,F-150,Hatchback,Gasoline,Automatic,Central,2019,5.8,114,33.5,51328.0,136155,5,5323.0
Toyota,Corolla,SUV,Gasoline,Automatic,East,2022,1.7,386,49.3,38359.0,121618,2,27100.0
BMW,7 Series,Truck,Hybrid,Automatic,South,2020,5.9,347,22.5,70287.0,16248,4,28262.0
Volkswagen,Golf,Truck,Hybrid,CVT,North,2018,3.2,354,28.9,18456.0,6609,6,31217.0
Audi,A4,Coupe,Gasoline,Automatic,South,2015,5.8,442,34.0,20540.0,108364,9,22570.0
Audi,Q7,SUV,Hybrid,Automatic,South,2020,3.3,424,26.8,79401.0,142450,4,22509.0
Kia,Optima,SUV,Gasoline,CVT,South,2022,3.7,464,40.0,63599.0,27921,2,37255.0
Volkswagen,Tiguan,SUV,Gasoline,Automatic,East,2017,5.0,266,25.3,67255.0,115395,7,14376.0
Volkswagen,Tiguan,Coupe,Hybrid,Manual,South,2021,4.6,180,45.9,54176.0,13617,3,25173.0
Ford,F-150,Sedan,Diesel,Automatic,East,2021,4.1,395,35.2,42291.0,109891,3,22338.0
Audi,A6,Sedan,Gasoline,Manual,West,2023,3.1,168,18.5,55900.0,29069,1,11836.0
Toyota,Corolla,SUV,Gasoline,CVT,West,2015,5.0,282,40.1,21018.0,79805,9,22660.0
Chevrolet,Silverado,Sedan,Electric,Automatic,West,2019,5.7,426,37.8,64255.0,69197,5,33720.0
Chevrolet,Equinox,SUV,Hybrid,Manual,East,2022,1.0,163,28.5,50148.0,129414,2,15006.0
BMW,X5,Sedan,Hybrid,CVT,East,2017,3.9,363,15.4,77188.0,142647,7,13658.0
Audi,A4,Sedan,Gasoline,CVT,North,2019,5.3,426,23.0,56436.0,69645,5,22443.0
Audi,Q7,Hatchback,Hybrid,Automatic,South,2015,4.3,185,31.2,24860.0,128169,9,14231.0
Chevrolet,Equinox,SUV,Gasoline,Automatic,Central,2023,5.0,143,23.0,46041.0,43116,1,15091.0
Audi,A4,Truck,Electric,Automatic,Central,2018,5.5,393,38.1,18758.0,100394,6,29151.0
Ford,Escape,Sedan,Gasoline,Automatic,South,2019,4.8,472,43.5,63453.0,26981,5,38472.0
Mercedes-Benz,C-Class,Sedan,Gasoline,Automatic,Central,2017,4.6,248,49.2,47619.0,99402,7,19092.0
Honda,Accord,Coupe,Gasoline,Automatic,Central,2016,5.8,359,40.9,39027.0,34718,8,28725.0
Volkswagen,Atlas,Truck,Hybrid,Manual,Central,2021,5.3,410,42.6,77956.0,43512,3,37086.0
Kia,Sorento,SUV,Hybrid,Automatic,East,2019,5.1,448,39.3,76139.0,62336,5,41660.0
BMW,5 Series,Hatchback,Gasoline,CVT,East,2017,1.4,158,54.4,76934.0,112299,7,18632.0
Mercedes-Benz,C-Class,Hatchback,Diesel,Manual,East,2016,2.2,193,25.4,29363.0,133082,8,4016.0
Chevrolet,Malibu,Hatchback,Hybrid,Automatic,South,2020,3.8,422,25.7,62357.0,131565,4,23293.0
Volkswagen,Atlas,SUV,Gasoline,Automatic,West,2020,4.5,104,20.1,76450.0,90033,4,6621.0
Audi,Q7,Sedan,Hybrid,Manual,Central,2017,2.5,182,34.4,52107.0,51003,7,19122.0
Kia,Sportage,SUV,Electric,Automatic,North,2023,1.5,427,18.8,28920.0,121335,1,29036.0
Audi,A6,Truck,Gasoline,Automatic,East,2015,2.6,482,25.8,68158.0,122183,9,23048.0
Toyota,Camry,Sedan,Gasoline,CVT,North,2017,4.9,136,34.3,72195.0,136015,7,7131.0
Toyota,Corolla,Truck,Gasoline,Automatic,Central,2015,5.4,126,53.3,60710.0,10350,9,23890.0
Kia,Rio,Sedan,Gasoline,CVT,West,2021,5.6,112,53.6,34081.0,86556,3,17647.0
Kia,Sorento,SUV,Gasoline,CVT,North,2016,2.9,489,44.7,27395.0,64271,8,32651.0
Chevrolet,Camaro,Sedan,Hybrid,Automatic,Central,2018,2.9,164,30.6,55578.0,108790,6,9827.0
Kia,Sorento,Truck,Diesel,Manual,Central,2018,3.0,302,49.6,46382.0,60730,6,25363.0
Ford,Focus,Sedan,Gasoline,Automatic,East,2022,2.9,279,50.0,58471.0,93938,2,21899.0
Audi,TT,Coupe,Hybrid,CVT,West,2018,4.3,396,51.4,22260.0,144863,6,24804.0
Mercedes-Benz,S-Class,SUV,Hybrid,Manual,Central,2017,2.8,370,40.6,23834.0,13335,7,36489.0
Hyundai,Sonata,Truck,Electric,Automatic,West,2017,1.1,488,23.1,38588.0,136863,7,27540.0
Kia,Rio,Hatchback,Gasoline,Automatic,East,2019,3.2,114,18.6,31819.0,27465,5,9766.0
BMW,5 Series,Truck,Hybrid,Manual,North,2020,2.1,100,51.6,55257.0,127671,4,20139.0
Toyota,Corolla,Hatchback,Electric,Automatic,South,2021,1.1,370,17.2,38890.0,13663,3,30174.0
Ford,Escape,Sedan,Diesel,CVT,South,2019,3.4,147,26.8,59458.0,76630,5,7595.0
Volkswagen,Atlas,Sedan,Gasoline,Automatic,South,2021,2.0,281,34.5,64972.0,2400,3,25553.0
Hyundai,Santa Fe,Sedan,Gasoline,Automatic,West,2018,3.3,282,15.9,27166.0,57437,6,15950.0
Mercedes-Benz,S-Class,Sedan,Hybrid,Automatic,South,2019,2.4,427,51.3,74789.0,91855,5,29724.0
Hyundai,Santa Fe,Coupe,Gasoline,Manual,North,2020,4.0,472,26.5,66165.0,20394,4,29492.0
Kia,Rio,Sedan,Electric,Manual,Central,2023,6.0,313,16.1,55741.0,86068,1,20727.0
Chevrolet,Tahoe,SUV,Hybrid,Automatic,West,2020,3.7,126,54.7,74080.0,12657,4,28932.0
Toyota,Camry,SUV,Gasoline,Manual,North,2015,4.2,325,27.5,32281.0,36736,9,25205.0
Toyota,Camry,SUV,Diesel,Manual,West,2021,5.6,257,50.1,42411.0,146525,3,19754.0
Volkswagen,Golf,SUV,Gasoline,Automatic,West,2017,2.9,159,33.1,20576.0,60705,7,18278.0
Chevrolet,Tahoe,Truck,Gasoline,Automatic,West,2020,1.8,165,41.5,44652.0,84325,4,15742.0
Audi,Q7,Sedan,Hybrid,Automatic,East,2016,2.4,273,24.6,47916.0,10300,8,24314.0
Honda,Accord,Sedan,Hybrid,Automatic,Central,2021,3.0,151,35.1,55044.0,148731,3,12168.0
Ford,Explorer,SUV,Gasoline,Automatic,South,2015,4.2,342,25.3,19163.0,111367,9,18381.0
Toyota,Prius,Truck,Hybrid,CVT,East,2016,1.0,436,53.0,17110.0,62005,8,38017.0
BMW,X3,SUV,Gasoline,CVT,Central,2023,5.3,390,17.4,42293.0,99445,1,21262.0
Toyota,RAV4,Coupe,Gasoline,Automatic,South,2023,1.4,343,26.0,27294.0,31836,1,24109.0
Hyundai,Accent,SUV,Gasoline,Automatic,East,2021,5.5,220,50.7,64321.0,34334,3,29945.0
Toyota,Highlander,SUV,Gasoline,Automatic,East,2016,5.7,141,34.2,58468.0,27102,8,18207.0
Toyota,Prius,Sedan,Electric,Manual,North,2019,6.0,283,39.0,36179.0,54584,5,27302.0
Honda,CR-V,SUV,Hybrid,Automatic,East,2018,5.0,144,41.1,17976.0,4536,6,29645.0
Honda,HR-V,Truck,Diesel,Manual,West,2016,1.7,151,17.8,26859.0,31335,8,10064.0
Mercedes-Benz,C-Class,Sedan,Diesel,Automatic,East,2016,4.5,250,15.7,59959.0,102160,8,4563.0
Audi,TT,Sedan,Gasoline,Manual,West,2022,2.0,128,52.5,79361.0,101208,2,17322.0
BMW,7 Series,Truck,Gasoline,Automatic,Central,2019,5.5,156,25.9,36220.0,55450,5,13740.0
Toyota,Highlander,SUV,Hybrid,Automatic,Central,2022,2.6,374,30.2,67130.0,65079,2,27423.0
Toyota,Camry,Sedan,Electric,Automatic,West,2016,2.6,308,42.3,71361.0,91927,8,25239.0
Ford,F-150,Truck,Hybrid,Automatic,North,2016,5.6,107,24.5,18132.0,103960,8,9028.0
Honda,HR-V,Sedan,Gasoline,CVT,North,2017,1.1,490,44.3,74554.0,42761,7,35838.0
BMW,5 Series,Coupe,Gasoline,Automatic,Central,2022,2.0,346,33.3,45303.0,92963,2,20445.0
Volkswagen,Golf,Sedan,Gasoline,Automatic,East,2022,3.1,494,49.3,77676.0,93929,2,33618.0
Mercedes-Benz,S-Class,Truck,Gasoline,CVT,Central,2017,4.5,294,26.1,50006.0,67196,7,17648.0
Audi,Q5,SUV,Gasoline,Automatic,Central,2015,4.2,421,23.2,30284.0,106156,9,16143.0
Chevrolet,Tahoe,Coupe,Diesel,Automatic,West,2021,4.3,438,48.3,78353.0,49745,3,31854.0
Audi,Q5,Sedan,Gasoline,CVT,North,2018,5.4,127,28.1,30815.0,98951,6,7801.0
Hyundai,Tucson,Truck,Diesel,Manual,West,2017,1.6,444,31.5,72361.0,116111,7,23517.0
Toyota,Camry,SUV,Hybrid,Automatic,Central,2019,3.6,430,46.7,26253.0,47704,5,41606.0
Mercedes-Benz,S-Class,SUV,Gasoline,Manual,South,2020,4.6,395,40.4,58860.0,22314,4,31999.0
Hyundai,Tucson,SUV,Hybrid,Manual,East,2015,4.2,334,32.7,41734.0,58224,9,30956.0
BMW,3 Series,Truck,Gasoline,Automatic,Central,2023,3.2,229,25.0,78181.0,132306,1,12233.0
Chevrolet,Tahoe,Hatchback,Diesel,Manual,West,2020,1.1,175,45.6,27010.0,87597,4,14454.0
Honda,CR-V,Sedan,Hybrid,Manual,South,2017,1.3,332,22.2,41572.0,50608,7,18956.0
Mercedes-Benz,S-Class,Sedan,Diesel,CVT,South,2015,1.6,329,52.1,56585.0,2830,9,32281.0
Mercedes-Benz,GLC,Coupe,Electric,CVT,Central,2023,2.7,431,21.0,78545.0,74800,1,25820.0
Toyota,Highlander,Sedan,Gasoline,Automatic,North,2016,1.6,469,47.2,34751.0,138826,8,29409.0
Kia,Sportage,Hatchback,Diesel,Automatic,South,2020,3.1,450,32.0,40797.0,72709,4,24815.0
Mercedes-Benz,S-Class,SUV,Diesel,Automatic,East,2020,1.9,409,22.4,45016.0,50230,4,27951.0
Ford,F-150,Truck,Hybrid,Automatic,West,2017,4.9,495,31.1,31426.0,111442,7,28757.0
Chevrolet,Camaro,Sedan,Hybrid,Automatic,West,2020,5.4,288,23.9,68128.0,79823,4,16888.0
Chevrolet,Silverado,Sedan,Hybrid,Manual,West,2016,2.9,101,20.4,20980.0,31563,8,11638.0
Ford,Escape,Truck,Hybrid,Automatic,Central,2022,3.6,435,24.6,60811.0,97446,2,22194.0
Volkswagen,Golf,Hatchback,Gasoline,Automatic,West,2015,5.8,164,49.7,49705.0,4914,9,23993.0
Ford,Mustang,Hatchback,Gasoline,Manual,West,2020,3.7,151,19.2,30725.0,89272,4,6044.0
Ford,Focus,Sedan,Diesel,Manual,East,2015,6.0,133,53.9,47034.0,49239,9,18528.0
Chevrolet,Malibu,Sedan,Diesel,Manual,North,2023,1.7,400,15.2,68947.0,55026,1,14629.0
Audi,A4,Sedan,Electric,Automatic,Central,2023,5.3,339,41.3,43954.0,17472,1,35092.0
Chevrolet,Silverado,Coupe,Gasoline,Manual,Central,2020,3.5,228,49.3,22923.0,129005,4,14438.0
Kia,Sorento,Sedan,Gasoline,CVT,West,2020,1.1,342,52.4,17652.0,59582,4,31270.0
Toyota,Highlander,Sedan,Diesel,Automatic,East,2023,5.9,455,20.8,65557.0,115341,1,18762.0
Hyundai,Tucson,Sedan,Hybrid,Automatic,South,2019,5.8,407,42.9,36478.0,53912,5,28820.0
Audi,Q5,Sedan,Electric,CVT,West,2023,2.9,422,19.3,75531.0,100731,1,28316.0
Honda,Fit,Hatchback,Gasoline,Automatic,West,2019,5.8,197,29.1,55115.0,140002,5,10122.0
Hyundai,Sonata,SUV,Gasoline,Automatic,Central,2018,1.7,175,44.3,43358.0,101303,6,17951.0
Toyota,RAV4,Sedan,Gasoline,Automatic,Central,2016,4.4,411,28.8,51690.0,29947,8,25840.0
Kia,Sorento,Sedan,Gasoline,Automatic,West,2016,2.0,464,27.5,44714.0,97481,8,28123.0
Kia,Sportage,Sedan,Electric,Automatic,Central,2015,2.2,318,19.6,73878.0,20813,9,28799.0
Honda,Civic,Sedan,Gasoline,Automatic,East,2017,4.9,405,17.7,44771.0,96493,7,21039.0
Audi,A6,Sedan,Gasoline,Automatic,South,2015,2.9,200,19.6,21764.0,17264,9,11318.0
Volkswagen,Golf,Truck,Gasoline,Automatic,South,2020,1.0,218,50.0,53811.0,97733,4,21483.0
Ford,F-150,Sedan,Gasoline,Manual,South,2021,3.1,239,15.4,55494.0,141619,3,4448.0
Audi,A4,Sedan,Hybrid,CVT,West,2023,2.1,470,42.7,64746.0,127556,1,28251.0
Volkswagen,Passat,SUV,Gasoline,Automatic,West,2021,4.4,324,45.7,75663.0,63046,3,29165.0
Kia,Rio,Truck,Gasoline,Manual,West,2018,2.0,354,37.7,43800.0,46580,6,31184.0
Chevrolet,Tahoe,SUV,Electric,Automatic,East,2018,5.2,172,44.2,37885.0,55889,6,25119.0
Toyota,Prius,Truck,Gasoline,Automatic,South,2022,2.3,411,41.1,46900.0,124416,2,24968.0
Honda,CR-V,SUV,Hybrid,CVT,Central,2018,3.0,405,33.2,73513.0,94729,6,27116.0
Toyota,Camry,Truck,Gasoline,Automatic,Central,2015,2.5,255,30.3,78699.0,83966,9,20440.0
BMW,X3,Sedan,Diesel,Automatic,North,2023,4.2,358,52.7,78130.0,137585,1,22099.0
BMW,X5,Hatchback,Gasoline,Automatic,North,2017,1.5,163,53.9,29930.0,27432,7,20157.0
Audi,Q5,Sedan,Gasoline,Manual,Central,2015,3.4,409,41.1,47298.0,99197,9,26988.0
Kia,Rio,SUV,Diesel,Automatic,South,2023,2.7,135,22.9,31866.0,26061,1,13647.0
Kia,Sportage,Truck,Gasoline,Automatic,West,2019,5.4,347,32.9,38919.0,34173,5,26556.0
Ford,Focus,SUV,Diesel,Manual,Central,2023,1.4,143,34.9,17059.0,130145,1,7080.0
Ford,Focus,Hatchback,Gasoline,Automatic,Central,2017,5.1,218,45.3,25439.0,43889,7,18292.0
Ford,Focus,SUV,Hybrid,Automatic,North,2020,1.8,448,41.7,40810.0,91585,4,33219.0
Chevrolet,Camaro,Coupe,Electric,Automatic,South,2021,1.4,280,35.6,38706.0,55865,3,24632.0
Hyundai,Santa Fe,Coupe,Gasoline,Automatic,Central,2019,2.0,496,42.2,33124.0,35295,5,33282.0
Mercedes-Benz,C-Class,Hatchback,Gasoline,Automatic,West,2022,1.5,487,16.0,29970.0,121713,2,20044.0
Hyundai,Santa Fe,Hatchback,Hybrid,Manual,West,2020,3.6,169,46.1,63682.0,70557,4,22264.0
Toyota,RAV4,Coupe,Diesel,Manual,East,2020,5.9,457,23.5,34146.0,31919,4,28452.0
Hyundai,Tucson,Truck,Gasoline,Automatic,West,2021,1.2,366,41.3,60925.0,4450,3,33206.0
Chevrolet,Malibu,SUV,Gasoline,Automatic,Central,2022,3.3,318,19.6,38961.0,87107,2,20100.0
Toyota,Prius,Sedan,Gasoline,Automatic,Central,2016,2.9,465,19.6,67129.0,120980,8,18653.0
Hyundai,Tucson,Truck,Gasoline,Automatic,West,2021,2.7,289,16.4,25870.0,16629,3,21785.0
